Year,Company,Drive_ID,Drive_Mode,Eligible_Branches,Students_Eligible,Students_Applied,Students_Shortlisted,Students_Selected
2016,"Bava, Dave and Chadha",1e78b84b-cd81-45f6-83ab-28ec92ec932d,Online,"Mechanical Engineering – Mechatronics,CSE – AI-Driven DevOps,Civil Engineering – Environmental Geotechnology,Civil Engineering,CSE – Artificial Intelligence",974,1269,399,26
2016,"Arora, Mall and Shankar",c379e6c9-c5b9-462f-a4f1-1b7494978b46,Online,"Mechanical Engineering,CSE – Artificial Intelligence & Data Engineering,Computer Engineering – Software Engineering,CSE – Artificial Intelligence,CSE – Mobile Applications & Cloud Technology",1756,688,102,21
2016,Sachar PLC,93e7466d-512f-4391-885c-4affb0b436be,Offline,"ECE – Robotics,Electrical & Electronics Engineering (EEE),Computer Science & Business Systems,Civil Engineering,Mechanical Engineering – Robotics",981,662,275,12
2016,"Mukhopadhyay, Varty and Garg",e1c1a502-213b-4f72-9a51-ebd4a35caf36,Online,"CSE – Artificial Intelligence & Data Engineering,Computer Science & Engineering (CSE),Computer Engineering – Software Engineering,Mechanical Engineering – Mechatronics,CSE – Mobile Applications & Cloud Technology",1748,687,154,64
2016,Narula-Banik,a78517b6-eac7-466f-925e-4b682a99f5b9,Online,"Computer Science & Business Systems,Civil Engineering – Environmental Geotechnology,CSE – Artificial Intelligence & Machine Learning,Computer Science & Engineering (CSE),CSE – Artificial Intelligence",289,663,374,9
2016,Choudhry-Sura,4475cc6f-0e6e-4484-9956-8ab8605a0b15,Offline,"Computer Science & Engineering – Data Science,EEE – Electric Vehicles / Microgrid Technologies,Civil Engineering – Construction Technology,CSE – Artificial Intelligence & Machine Learning,CSE – Artificial Intelligence",1221,1106,250,187
2016,"Nayar, Varty and Balasubramanian",06b4b49a-9771-4a15-a0d6-504453669371,Offline,"Civil Engineering – Environmental Geotechnology,CSE – Mobile Applications & Cloud Technology,EEE – Electric Vehicles / Microgrid Technologies,Mechanical Engineering – Mechatronics,Computer Science & Engineering (CSE)",1769,935,486,161
2016,"Gera, Deol and Ganguly",60eb86a4-8603-40d3-bf57-2bc42895e7a3,Online,"CSE – Artificial Intelligence & Machine Learning,CSE – Artificial Intelligence & Data Engineering,Civil Engineering,Mechanical Engineering – Robotics,CSE – Internet of Things (IoT)",1597,656,482,11
2016,"Bhavsar, Taneja and Vora",d7fdf789-1b0f-47a6-a448-93bae3ee32ed,Online,"Computer Science & Engineering – Data Science,CSE – Internet of Things (IoT),CSE – Artificial Intelligence & Data Engineering,Electronics & Communication Engineering (ECE),EEE – Electric Vehicles / Microgrid Technologies",1856,155,323,111
2016,"Pandya, Batra and Banerjee",b34f33a1-5a01-4381-9838-7fcde498a0ab,Offline,"CSE – Cyber Physical Systems,Civil Engineering – Environmental Geotechnology,ECE – Robotics,CSE – Internet of Things (IoT),CSE – Blockchain Technology",1018,1296,65,65
2016,"Mammen, Misra and Gandhi",2bca1d69-95f0-4640-9c13-43679f10ecac,Offline,"CSE – Cyber Physical Systems,Computer Engineering – Software Engineering,CSE – Artificial Intelligence & Machine Learning,CSE – AI-Driven DevOps,CSE – Cloud Technology & Information Security",464,602,179,22
2016,Sani-Dutt,7a90e7be-665d-41d2-bba4-79de74aa636c,Online,"CSE – Artificial Intelligence,Electronics & Communication Engineering (ECE),Electrical & Electronics Engineering (EEE),Civil Engineering,CSE – Blockchain Technology",686,759,207,101
2016,Bains LLC,b26f2260-b7e6-4014-a2fb-ffd38f087ce2,Online,"Computer Science & Engineering – Data Science,Computer Science & Engineering (CSE),CSE – Cyber Physical Systems,ECE – Robotics,Civil Engineering",309,834,168,41
2016,Kari Group,20dc1c41-9d45-4002-99c4-a68ff46a7d72,Online,"Computer Science & Engineering (CSE),CSE – Artificial Intelligence & Machine Learning,CSE – Internet of Things (IoT),Mechanical Engineering,CSE – AI-Driven DevOps",1395,680,51,153
2016,"Thaker, Kohli and Brar",76a546fa-f12e-4753-a9ed-8124630f2af5,Online,"CSE – Artificial Intelligence,Civil Engineering – Environmental Geotechnology,Electronics & Communication Engineering (ECE),EEE – Electric Vehicles / Microgrid Technologies,CSE – Blockchain Technology",1155,294,418,50
2016,Sheth Ltd,5c98ec62-89e5-4400-99bf-c9c27f6220ac,Offline,"Electrical & Electronics Engineering (EEE),Computer Science & Business Systems,CSE – AI-Driven DevOps,CSE – Cyber Physical Systems,CSE – Mobile Applications & Cloud Technology",1124,1110,94,27
2016,"Uppal, Thakur and Prabhu",44d9a109-df72-4596-994e-36af0930d90c,Offline,"CSE – Internet of Things (IoT),Computer Engineering – Software Engineering,CSE – Cloud Technology & Information Security,EEE – Electric Vehicles / Microgrid Technologies,Civil Engineering",1567,784,133,192
2016,"Bhardwaj, Vig and Goyal",bfee6f3e-0707-4fd8-b7e7-9c9317437751,Online,"CSE – Artificial Intelligence,EEE – Electric Vehicles / Microgrid Technologies,Electrical & Electronics Engineering (EEE),ECE – Robotics,CSE – Internet of Things (IoT)",1907,1334,354,55
2016,Ram Inc,ae26f2d1-e801-4bf1-849a-b7cbef39bb5c,Offline,"Electronics & Communication Engineering (ECE),CSE – Artificial Intelligence & Data Engineering,CSE – Artificial Intelligence & Machine Learning,CSE – Cloud Technology & Information Security,CSE – Artificial Intelligence",1821,1036,221,35
2016,Divan-Dar,513f598e-dde7-4eae-bfc1-d2d94dfd6880,Offline,"Mechanical Engineering – Mechatronics,CSE – Blockchain Technology,CSE – Artificial Intelligence & Data Engineering,ECE – VLSI Design & Technology,CSE – Cyber Physical Systems",1630,119,158,85
2016,Dhillon-Hari,7f0943e0-169f-40a5-a787-b3df2392b914,Offline,"Civil Engineering – Environmental Geotechnology,ECE – Robotics,CSE – Artificial Intelligence,ECE – VLSI Design & Technology,CSE – Cloud Technology & Information Security",1389,307,396,46
2016,Parikh Ltd,c6521850-c8e6-4298-a6af-c506c8aa32cf,Offline,"Electronics & Communication Engineering (ECE),Civil Engineering – Environmental Geotechnology,CSE – Artificial Intelligence & Machine Learning,Computer Science & Business Systems,Computer Engineering – Software Engineering",1615,1163,455,15
2016,De-Khalsa,232ebcfc-a7f1-4c42-a0a6-4b5aea6ec974,Online,"CSE – Internet of Things (IoT),CSE – Artificial Intelligence,ECE – Robotics,Civil Engineering – Construction Technology,Computer Engineering – Software Engineering",1279,1295,174,54
2016,"Pradhan, Bhandari and Balan",e52d30d3-968e-4ef8-a9c8-5c67333f8af8,Online,"CSE – Mobile Applications & Cloud Technology,Computer Science & Engineering – Data Science,Computer Science & Business Systems,CSE – Artificial Intelligence & Data Engineering,Civil Engineering – Environmental Geotechnology",1955,550,286,150
2016,Chokshi-Chada,aefdf954-caae-41da-8c43-4e9c432be660,Offline,"CSE – Cloud Technology & Information Security,CSE – Mobile Applications & Cloud Technology,CSE – Internet of Things (IoT),ECE – Robotics,CSE – Artificial Intelligence & Machine Learning",448,1087,173,23
2016,"Puri, Luthra and Choudhury",8c3fc22a-fcb8-4d86-a65d-89620a15b6c9,Offline,"Electronics & Communication Engineering (ECE),Computer Science & Business Systems,EEE – Electric Vehicles / Microgrid Technologies,CSE – Mobile Applications & Cloud Technology,CSE – Cyber Physical Systems",1552,1099,291,114
