StudentID,Year,Company,Package,Status,InterviewMode,Interview_Rounds,Placed_Date
1,2016,Mohanty PLC,11.65,Rejected,Online,3,2019-05-20
1,2016,"Magar, Anand and Dara",5.73,Placed,Online,2,2016-03-21
1,2016,Gupta Group,33.81,Rejected,Online,2,2019-05-04
2,2016,Borra-Mahal,27.87,Rejected,Online,4,2020-12-01
2,2016,"Balan, Nath and Tella",3.04,Rejected,Offline,2,2023-06-27
2,2016,Andra-Kalita,12.88,Rejected,Online,4,2025-09-04
2,2016,"Shenoy, Malhotra and Kulkarni",24.27,Rejected,Online,4,2017-12-16
2,2016,"Sagar, Sharma and Butala",4.18,Rejected,Online,4,2023-10-11
2,2016,Chokshi-Chada,24.43,Placed,Online,4,2024-09-30
2,2016,"Nagi, Mander and Swaminathan",24.61,Placed,Online,4,2022-08-22
2,2016,Mohanty PLC,14.99,Placed,Offline,3,2024-12-18
3,2016,Khare-Edwin,31.94,Placed,Online,4,2026-02-12
3,2016,"Baral, Krishnan and Gade",9.35,Placed,Offline,4,2025-06-25
3,2016,Bhatnagar-Rajan,6.93,Placed,Online,5,2019-09-02
3,2016,"Rana, Jhaveri and Vasa",5.11,Placed,Offline,4,2026-01-27
3,2016,Devan Group,18.65,Rejected,Offline,4,2025-03-31
3,2016,"Hayre, Dhawan and Nair",14.95,Rejected,Offline,2,2021-02-12
3,2016,Varughese-Khalsa,32.01,Rejected,Offline,4,2023-07-03
4,2016,"Uppal, Thakur and Prabhu",17.06,Placed,Offline,3,2016-03-20
4,2016,"Iyengar, Rout and Om",37.23,Rejected,Offline,2,2020-06-26
4,2016,Sant Ltd,4.42,Rejected,Online,2,2025-04-28
4,2016,Swaminathan-Nori,15.13,Placed,Offline,4,2024-01-06
5,2016,"Nayar, Varty and Balasubramanian",38.45,Placed,Offline,4,2026-01-30
5,2016,Johal-Dey,14.49,Placed,Online,3,2021-04-29
5,2016,Deo-Prakash,4.02,Rejected,Offline,5,2024-07-09
5,2016,"Majumdar, Sachdeva and Ramachandran",17.28,Placed,Offline,5,2019-07-04
5,2016,Dugal-Chakrabarti,7.37,Placed,Offline,4,2024-10-03
5,2016,"Sagar, Naik and Varghese",3.41,Placed,Offline,5,2019-08-07
